Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.491643	0	0.0321005
2	0.036252	0	0.0124575
3	0.0129942	0	0.00498249
4	0.00510824	0	0.00207843
5	0.00209352	0	0.000923409
6	0.000915049	0	0.000443326
7	0.000435548	0	0.000229468
8	0.000225978	0	0.00012585
9	0.000125109	0	7.16534e-05
10	7.2003e-05	0	4.1703e-05
11	4.22868e-05	0	2.45761e-05
12	2.50856e-05	0	1.4586e-05
13	1.4956e-05	0	8.69235e-06
14	8.93971e-06	0	5.19269e-06
15	5.35091e-06	0	3.10657e-06
16	3.20527e-06	0	1.86019e-06
17	1.92085e-06	0	1.11448e-06
18	1.15143e-06	0	6.67943e-07
19	6.90326e-07	0	4.00405e-07
20	4.13917e-07	0	2.4006e-07
