Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	1.4234	0	0.111462
2	0.131884	0	0.0133709
3	0.0163769	0	0.00772136
4	0.00987087	0	0.00875867
5	0.00654794	0	0.00792645
6	0.00347623	0	0.00500353
7	0.00170357	0	0.00253759
8	0.000771961	0	0.00115905
9	0.000348452	0	0.00049873
10	0.000171474	0	0.000209344
11	9.82448e-05	0	9.18862e-05
12	0.000823663	0	0.000369349
13	0.000506138	0	0.000292551
14	0.00037966	0	0.000225798
15	0.000286774	0	0.000172269
16	0.000217629	0	0.000131106
17	0.000165396	0	9.96853e-05
18	0.000125756	0	7.57571e-05
19	9.56303e-05	0	5.75566e-05
20	7.27146e-05	0	4.37218e-05
21	5.52651e-05	0	3.32094e-05
22	4.20138e-05	0	2.52231e-05
23	3.19161e-05	0	1.91566e-05
24	2.42544e-05	0	1.45489e-05
