Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	2.1838	0	0.413613
2	0.708639	0	0.154757
3	0.1919	0	0.0542477
4	0.0541957	0	0.0312726
5	0.03165	0	0.018304
6	0.0186527	0	0.0108185
7	0.0110695	0	0.00643177
8	0.00659707	0	0.0038372
9	0.00394159	0	0.00229407
10	0.00235855	0	0.00137323
11	0.00141256	0	0.000822629
12	0.000846457	0	0.000493017
13	0.000507391	0	0.000295555
14	0.000304204	0	0.000177209
15	0.000182406	0	0.000106262
16	0.000109382	0	6.37229e-05
17	6.55952e-05	0	3.82147e-05
18	3.93378e-05	0	2.2918e-05
19	2.35916e-05	0	1.37445e-05
20	1.41485e-05	0	8.24305e-06
