Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.967325	0	0.00218122
2	0.165063	0	0.0134371
3	0.0277043	0	0.00755495
4	0.0102446	0	0.00242753
5	0.00268261	0	0.00104073
6	0.00113567	0	0.0005723
7	0.000474559	0	0.000285015
8	0.000207995	0	0.000141714
9	0.000100514	0	7.65264e-05
10	5.1118e-05	0	4.30779e-05
11	2.6173e-05	0	2.46591e-05
12	1.41057e-05	0	1.43561e-05
13	7.92897e-06	0	8.46832e-06
14	4.52847e-06	0	5.03258e-06
15	2.62193e-06	0	3.00424e-06
16	1.53912e-06	0	1.799e-06
17	9.10942e-07	0	1.07955e-06
18	5.41629e-07	0	6.48698e-07
19	3.23153e-07	0	3.90161e-07
20	1.93293e-07	0	2.34813e-07
