Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	2.19328	0	0.413632
2	0.709192	0	0.154782
3	0.191934	0	0.0542663
4	0.05421	0	0.0312906
5	0.0316688	0	0.0183172
6	0.0186668	0	0.0108277
7	0.0110794	0	0.00643807
8	0.00660394	0	0.00384147
9	0.00394625	0	0.00229692
10	0.00236167	0	0.00137512
11	0.00141463	0	0.00082387
12	0.000847813	0	0.000493826
13	0.000508274	0	0.000296078
14	0.000304775	0	0.000177546
15	0.000182773	0	0.000106477
16	0.000109617	0	6.386e-05
17	6.57446e-05	0	3.83017e-05
18	3.94326e-05	0	2.2973e-05
19	2.36515e-05	0	1.37792e-05
20	1.41862e-05	0	8.2648e-06
