Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.536374	0	0.002142
2	0.00230522	0	0.000919924
3	0.00100941	0	0.000398156
4	0.000457769	0	0.000176999
5	0.000216235	0	8.36786e-05
6	0.000106556	0	4.35192e-05
7	5.49009e-05	0	2.4855e-05
8	2.95704e-05	0	1.50414e-05
9	1.65641e-05	0	9.31449e-06
10	9.56006e-06	0	5.79099e-06
11	5.62763e-06	0	3.58768e-06
12	3.35112e-06	0	2.21038e-06
13	2.00758e-06	0	1.35445e-06
14	1.20608e-06	0	8.2613e-07
15	7.25372e-07	0	5.02021e-07
16	4.36377e-07	0	3.04188e-07
17	2.62482e-07	0	1.83911e-07
18	1.57845e-07	0	1.11008e-07
19	9.49108e-08	0	6.69209e-08
20	5.70323e-08	0	4.03062e-08
