Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.564731	0	0.0172503
2	0.0732075	0	0.00987953
3	0.0189132	0	0.00434889
4	0.00689328	0	0.00210572
5	0.00254682	0	0.00109805
6	0.00127319	0	0.000586881
7	0.000744405	0	0.000321757
8	0.000417604	0	0.000180848
9	0.000234315	0	0.000103548
10	0.000134582	0	6.00777e-05
11	7.82702e-05	0	3.51866e-05
12	4.58418e-05	0	2.07475e-05
13	2.70172e-05	0	1.22937e-05
14	1.59999e-05	0	7.31118e-06
15	9.50651e-06	0	4.36007e-06
16	5.66114e-06	0	2.60566e-06
17	3.37645e-06	0	1.55972e-06
18	2.01593e-06	0	9.34786e-07
19	1.20448e-06	0	5.60772e-07
20	7.19993e-07	0	3.3664e-07
