Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	2.43851	0	0.411142
2	0.70943	0	0.155236
3	0.193732	0	0.0540314
4	0.0546064	0	0.030848
5	0.0313659	0	0.0180356
6	0.0184433	0	0.0106596
7	0.0109416	0	0.00633812
8	0.00652105	0	0.00378182
9	0.0038965	0	0.00226121
10	0.00233178	0	0.00135369
11	0.00139665	0	0.000810993
12	0.000836986	0	0.000486081
13	0.000501751	0	0.000291418
14	0.000300844	0	0.000174741
15	0.000180404	0	0.000104789
16	0.000108189	0	6.28439e-05
17	6.4884e-05	0	3.76901e-05
18	3.89139e-05	0	2.26048e-05
19	2.33388e-05	0	1.35576e-05
20	1.39978e-05	0	8.13144e-06
