Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.416579	0	0.0135058
2	0.035983	0	0.00695778
3	0.0102457	0	0.00320375
4	0.0043055	0	0.00157344
5	0.00196974	0	0.000812404
6	0.00102773	0	0.000432965
7	0.000565503	0	0.000237482
8	0.000313725	0	0.000133395
9	0.000176968	0	7.62764e-05
10	0.000101522	0	4.41852e-05
11	5.89654e-05	0	2.58364e-05
12	3.45588e-05	0	1.52099e-05
13	2.03875e-05	0	8.99837e-06
14	1.20825e-05	0	5.34281e-06
15	7.18289e-06	0	3.18077e-06
16	4.27911e-06	0	1.89734e-06
17	2.55281e-06	0	1.13341e-06
18	1.52438e-06	0	6.77786e-07
19	9.10841e-07	0	4.05636e-07
20	5.4448e-07	0	2.42902e-07
