Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	2.34462	0	0.413611
2	0.710807	0	0.154754
3	0.192226	0	0.0542456
4	0.0543254	0	0.0312706
5	0.0317218	0	0.0183026
6	0.0186934	0	0.0108175
7	0.011093	0	0.00643109
8	0.00661084	0	0.00383674
9	0.0039497	0	0.00229376
10	0.00236334	0	0.00137302
11	0.00141541	0	0.000822494
12	0.000848145	0	0.00049293
13	0.000508395	0	0.000295498
14	0.000304801	0	0.000177173
15	0.000182762	0	0.000106239
16	0.000109594	0	6.37081e-05
17	6.5721e-05	0	3.82053e-05
18	3.94127e-05	0	2.29121e-05
19	2.36362e-05	0	1.37408e-05
20	1.4175e-05	0	8.24071e-06
