Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.860965	0	0.0139862
2	0.0784912	0	0.00845633
3	0.0234769	0	0.00415532
4	0.00772619	0	0.00207487
5	0.00286002	0	0.00109406
6	0.00118561	0	0.000590289
7	0.000704698	0	0.00032427
8	0.000403733	0	0.000181493
9	0.000222395	0	0.000103223
10	0.00012555	0	5.94793e-05
11	7.22301e-05	0	3.4633e-05
12	4.18544e-05	0	2.0332e-05
13	2.44167e-05	0	1.20131e-05
14	1.43365e-05	0	7.13327e-06
15	8.45792e-06	0	4.25181e-06
16	5.00668e-06	0	2.54161e-06
17	2.9711e-06	0	1.52257e-06
18	1.76634e-06	0	9.13548e-07
19	1.05146e-06	0	5.4875e-07
20	6.26486e-07	0	3.29882e-07
