Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	1.21051	0	0.0539162
2	0.068451	0	0.0271138
3	0.0341108	0	0.0152772
4	0.0180149	0	0.00864797
5	0.0101697	0	0.00494289
6	0.00583937	0	0.0027982
7	0.00330067	0	0.00159218
8	0.00187937	0	0.000903469
9	0.00106599	0	0.000513468
10	0.000605981	0	0.000291558
11	0.000344042	0	0.000165637
12	0.000195469	0	9.40728e-05
13	0.000111011	0	5.3437e-05
14	6.30601e-05	0	3.03515e-05
15	3.58167e-05	0	1.72401e-05
16	2.03447e-05	0	9.79239e-06
17	1.15557e-05	0	5.56216e-06
18	6.56375e-06	0	3.15933e-06
19	3.72823e-06	0	1.79452e-06
20	2.11766e-06	0	1.01929e-06
21	1.20284e-06	0	5.78965e-07
22	6.8322e-07	0	3.28855e-07
23	3.88073e-07	0	1.86792e-07
24	2.20427e-07	0	1.06099e-07
25	1.25204e-07	0	6.02647e-08
26	7.11166e-08	0	3.42307e-08
27	4.03947e-08	0	1.94431e-08
28	2.29442e-08	0	1.10437e-08
29	1.30323e-08	0	6.27283e-09
30	7.40236e-09	0	3.56311e-09
